"Filename","TotalNodes","TotalLeafNodes","NodeTypes","MaxDepth","MinDepth","AverageDepth","AverageLeafDepth"
"invoke-cradlecrafter_random_1.ps1","89","26","14","32","3","12.08","11.77"
"invoke-cradlecrafter_random_10.ps1","46","17","11","9","3","4.63","5.82"
"invoke-cradlecrafter_random_100.ps1","102","31","16","30","3","10.96","11.19"
"invoke-cradlecrafter_random_101.ps1","179","56","16","23","0","10.17","10.5"
"invoke-cradlecrafter_random_102.ps1","74","21","17","28","4","14.05","15.62"
"invoke-cradlecrafter_random_103.ps1","78","21","14","29","0","14.09","13.9"
"invoke-cradlecrafter_random_104.ps1","145","42","14","24","4","11.74","12.21"
"invoke-cradlecrafter_random_105.ps1","297","106","25","26","3","7.57","8.54"
"invoke-cradlecrafter_random_106.ps1","668","168","19","39","3","16.84","17.86"
"invoke-cradlecrafter_random_107.ps1","55","17","15","25","4","11.93","13.65"
"invoke-cradlecrafter_random_108.ps1","124","31","14","26","4","13.87","14.48"
"invoke-cradlecrafter_random_109.ps1","183","52","18","27","0","11.92","12.56"
"invoke-cradlecrafter_random_11.ps1","2091","1636","15","82","5","41.54","40.78"
"invoke-cradlecrafter_random_110.ps1","82","27","13","22","3","7.85","7.85"
"invoke-cradlecrafter_random_111.ps1","130","37","18","30","0","14.78","16.65"
"invoke-cradlecrafter_random_112.ps1","75","20","15","24","0","11.96","13.3"
"invoke-cradlecrafter_random_113.ps1","44","12","12","18","0","8.64","9.58"
"invoke-cradlecrafter_random_114.ps1","49","12","12","24","0","12.63","13"
"invoke-cradlecrafter_random_115.ps1","71","24","15","18","3","8.1","8.96"
"invoke-cradlecrafter_random_116.ps1","121","34","16","25","3","12.59","14.12"
"invoke-cradlecrafter_random_117.ps1","158","43","18","25","0","13.4","13.88"
"invoke-cradlecrafter_random_118.ps1","67","24","16","16","3","6.37","7.5"
"invoke-cradlecrafter_random_119.ps1","181","52","17","35","0","16.61","16.92"
"invoke-cradlecrafter_random_12.ps1","350","117","25","26","3","8.58","9.54"
"invoke-cradlecrafter_random_120.ps1","167","55","21","20","3","9.06","9.65"
"invoke-cradlecrafter_random_121.ps1","208","63","15","28","3","12.35","12.52"
"invoke-cradlecrafter_random_122.ps1","80","31","19","12","3","4.92","5.9"
"invoke-cradlecrafter_random_123.ps1","92","28","15","27","0","10.13","10.21"
"invoke-cradlecrafter_random_124.ps1","120","34","13","26","4","13.13","14.21"
"invoke-cradlecrafter_random_125.ps1","55","13","11","24","0","13.71","14.15"
"invoke-cradlecrafter_random_126.ps1","52","15","13","28","4","14.08","15.33"
"invoke-cradlecrafter_random_127.ps1","72","24","16","24","0","10.01","9.67"
"invoke-cradlecrafter_random_128.ps1","221","61","17","37","0","15.78","16.57"
"invoke-cradlecrafter_random_129.ps1","115","33","13","34","4","14.37","14.82"
"invoke-cradlecrafter_random_13.ps1","28","6","9","20","5","10.39","12.83"
"invoke-cradlecrafter_random_130.ps1","124","38","20","27","0","13.69","13.16"
"invoke-cradlecrafter_random_131.ps1","135","34","14","32","0","15.96","17.12"
"invoke-cradlecrafter_random_132.ps1","222","66","17","28","0","11.89","12.32"
"invoke-cradlecrafter_random_133.ps1","61","24","13","11","3","6.07","6.96"
"invoke-cradlecrafter_random_134.ps1","48","14","11","15","4","6.6","7.79"
"invoke-cradlecrafter_random_135.ps1","65","19","14","23","4","11.66","12.74"
"invoke-cradlecrafter_random_136.ps1","190","53","22","25","0","12.31","12.53"
"invoke-cradlecrafter_random_137.ps1","249","70","18","27","0","13.97","14.71"
"invoke-cradlecrafter_random_138.ps1","2114","1644","17","83","4","42.14","41.61"
"invoke-cradlecrafter_random_139.ps1","98","29","16","28","4","13.88","14.48"
"invoke-cradlecrafter_random_14.ps1","73","32","17","7","3","4.18","5.28"
"invoke-cradlecrafter_random_140.ps1","53","13","10","26","0","12.21","13.38"
"invoke-cradlecrafter_random_141.ps1","139","43","14","28","4","10.37","10.7"
"invoke-cradlecrafter_random_142.ps1","89","33","17","21","3","8.33","9.21"
"invoke-cradlecrafter_random_143.ps1","59","21","11","9","4","5.41","6.57"
"invoke-cradlecrafter_random_144.ps1","77","27","9","13","4","6.23","6.85"
"invoke-cradlecrafter_random_145.ps1","117","39","21","23","0","8.95","9.38"
"invoke-cradlecrafter_random_146.ps1","37","13","10","12","4","5.43","6.46"
"invoke-cradlecrafter_random_147.ps1","71","23","12","21","0","9.46","9.13"
"invoke-cradlecrafter_random_148.ps1","61","16","14","23","0","12.69","14.75"
"invoke-cradlecrafter_random_149.ps1","45","18","10","9","4","5.18","6.17"
"invoke-cradlecrafter_random_15.ps1","354","115","25","26","3","8.65","9.45"
"invoke-cradlecrafter_random_150.ps1","54","19","16","25","0","11.63","11.37"
"invoke-cradlecrafter_random_151.ps1","29","12","7","8","0","4.48","5"
"invoke-cradlecrafter_random_152.ps1","46","17","9","9","4","5.24","6.18"
"invoke-cradlecrafter_random_153.ps1","147","45","19","29","3","13.65","14.2"
"invoke-cradlecrafter_random_154.ps1","21","7","8","8","3","4.48","6"
"invoke-cradlecrafter_random_155.ps1","136","39","15","28","3","12.86","13.49"
"invoke-cradlecrafter_random_156.ps1","33","15","9","9","0","4.91","5.2"
"invoke-cradlecrafter_random_157.ps1","76","24","15","24","3","10.41","10.96"
"invoke-cradlecrafter_random_158.ps1","235","70","22","27","0","10.99","11.07"
"invoke-cradlecrafter_random_159.ps1","77","19","15","24","5","12.45","15.05"
"invoke-cradlecrafter_random_16.ps1","26","6","9","19","0","10","11.17"
"invoke-cradlecrafter_random_160.ps1","190","49","15","44","0","24.38","25.61"
"invoke-cradlecrafter_random_161.ps1","1768","380","21","68","3","35.2","36.78"
"invoke-cradlecrafter_random_162.ps1","51","17","16","21","0","10.02","10.76"
"invoke-cradlecrafter_random_163.ps1","50","13","11","24","0","12.7","13.31"
"invoke-cradlecrafter_random_164.ps1","251","61","15","37","4","14.92","15.67"
"invoke-cradlecrafter_random_165.ps1","96","35","12","18","0","7.1","7.43"
"invoke-cradlecrafter_random_166.ps1","110","31","14","37","0","19.47","20.16"
"invoke-cradlecrafter_random_167.ps1","206","64","15","27","4","13.2","13.84"
"invoke-cradlecrafter_random_168.ps1","410","99","15","30","4","15.09","16.18"
"invoke-cradlecrafter_random_169.ps1","113","37","16","30","0","14.12","13.86"
"invoke-cradlecrafter_random_17.ps1","76","24","13","28","3","10.32","10.25"
"invoke-cradlecrafter_random_170.ps1","78","31","11","10","0","5.56","6.32"
"invoke-cradlecrafter_random_171.ps1","47","12","13","23","5","10.43","13.08"
"invoke-cradlecrafter_random_172.ps1","2091","1636","15","82","5","41.54","40.78"
"invoke-cradlecrafter_random_173.ps1","47","11","13","20","5","10.66","13.45"
"invoke-cradlecrafter_random_174.ps1","27","13","7","7","4","4.3","5.38"
"invoke-cradlecrafter_random_175.ps1","65","17","14","36","4","18.78","20.29"
"invoke-cradlecrafter_random_176.ps1","75","26","15","19","3","7.31","8.42"
"invoke-cradlecrafter_random_177.ps1","147","44","14","22","0","11.87","11.82"
"invoke-cradlecrafter_random_178.ps1","240","61","15","30","4","14.08","14.84"
"invoke-cradlecrafter_random_179.ps1","154","41","17","26","3","12.58","13.37"
"invoke-cradlecrafter_random_18.ps1","20","5","11","14","8","8.25","12.2"
"invoke-cradlecrafter_random_180.ps1","185","55","17","25","0","11.94","12.36"
"invoke-cradlecrafter_random_181.ps1","84","27","13","25","4","9.95","10.3"
"invoke-cradlecrafter_random_182.ps1","89","24","15","32","3","13.56","14.67"
"invoke-cradlecrafter_random_183.ps1","74","28","12","12","3","5.49","6.46"
"invoke-cradlecrafter_random_184.ps1","73","26","9","13","4","6.07","6.62"
"invoke-cradlecrafter_random_185.ps1","57","24","15","18","0","7.53","8.29"
"invoke-cradlecrafter_random_186.ps1","114","35","18","22","0","11.03","11.77"
"invoke-cradlecrafter_random_187.ps1","38","13","16","13","0","7.42","8.85"
"invoke-cradlecrafter_random_188.ps1","50","17","9","10","4","5.56","6.53"
"invoke-cradlecrafter_random_189.ps1","93","30","15","26","0","10.34","10.6"
"invoke-cradlecrafter_random_19.ps1","2091","1636","15","82","5","41.54","40.78"
"invoke-cradlecrafter_random_190.ps1","149","44","14","28","4","10.91","11.66"
"invoke-cradlecrafter_random_191.ps1","61","24","16","19","3","7.72","8.38"
"invoke-cradlecrafter_random_192.ps1","29","9","14","11","0","6.93","8.67"
"invoke-cradlecrafter_random_193.ps1","128","46","21","24","3","9.92","10.3"
"invoke-cradlecrafter_random_194.ps1","63","24","15","19","3","7.78","8.67"
"invoke-cradlecrafter_random_195.ps1","71","25","17","24","0","10.04","9.52"
"invoke-cradlecrafter_random_196.ps1","148","47","18","31","3","13.96","14.04"
"invoke-cradlecrafter_random_197.ps1","187","53","18","25","3","11.67","12.26"
"invoke-cradlecrafter_random_198.ps1","264","64","15","39","0","18.82","20.52"
"invoke-cradlecrafter_random_199.ps1","163","43","19","33","0","15.53","15.4"
"invoke-cradlecrafter_random_2.ps1","354","115","25","26","3","8.65","9.45"
"invoke-cradlecrafter_random_20.ps1","46","19","11","9","3","4.26","5.26"
"invoke-cradlecrafter_random_200.ps1","133","47","21","27","3","10.47","10.68"
"invoke-cradlecrafter_random_21.ps1","2091","1636","15","82","5","41.54","40.78"
"invoke-cradlecrafter_random_22.ps1","46","17","11","9","3","4.63","5.82"
"invoke-cradlecrafter_random_23.ps1","37","13","11","11","3","5.38","6.77"
"invoke-cradlecrafter_random_24.ps1","72","20","14","28","3","11.22","12.15"
"invoke-cradlecrafter_random_25.ps1","299","108","25","26","3","7.56","8.49"
"invoke-cradlecrafter_random_26.ps1","354","115","25","26","3","8.65","9.45"
"invoke-cradlecrafter_random_27.ps1","297","106","25","26","3","7.57","8.54"
"invoke-cradlecrafter_random_28.ps1","74","21","14","28","3","12.43","12.67"
"invoke-cradlecrafter_random_29.ps1","78","30","15","22","3","8.26","8.43"
"invoke-cradlecrafter_random_3.ps1","99","29","14","32","3","12.4","11.79"
"invoke-cradlecrafter_random_30.ps1","135","37","13","32","3","12.41","12.27"
"invoke-cradlecrafter_random_31.ps1","34","13","14","18","3","8.38","9.46"
"invoke-cradlecrafter_random_32.ps1","62","19","12","23","0","11.56","12.11"
